2025-07-16 12:07:40 -> Preparando o dataset...
2025-07-16 12:07:40 -> Carregando as imagens e convertendo em ndarray...
2025-07-16 12:07:46 -> Normaliza o dataset (-1, 1)
2025-07-16 12:07:47 -> Cria o dataset no formato do TensorFlow e atribui a propriedade do objeto
2025-07-16 12:07:48 -> None
2025-07-16 12:07:49 -> None
2025-07-16 12:07:49 -> Treinando o modelo...
2025-07-16 12:08:47 -> Epoca 1 finalizada em 58.46 segundos. PERDA GERADOR: 3.608696222305298 >> PERDA DISCRIMINADOR: 2.147709369659424
2025-07-16 12:09:34 -> Epoca 2 finalizada em 46.30 segundos. PERDA GERADOR: 3.1219704151153564 >> PERDA DISCRIMINADOR: 1.4787486791610718
2025-07-16 12:10:18 -> Epoca 3 finalizada em 43.70 segundos. PERDA GERADOR: 2.901181936264038 >> PERDA DISCRIMINADOR: 1.2270233631134033
2025-07-16 12:11:02 -> Epoca 4 finalizada em 43.75 segundos. PERDA GERADOR: 2.949760675430298 >> PERDA DISCRIMINADOR: 1.1403489112854004
2025-07-16 12:11:48 -> Epoca 5 finalizada em 46.54 segundos. PERDA GERADOR: 3.1378777027130127 >> PERDA DISCRIMINADOR: 1.0459855794906616
2025-07-16 12:12:32 -> Epoca 6 finalizada em 44.01 segundos. PERDA GERADOR: 3.0563619136810303 >> PERDA DISCRIMINADOR: 0.9957286715507507
2025-07-16 12:13:17 -> Epoca 7 finalizada em 43.87 segundos. PERDA GERADOR: 3.057929754257202 >> PERDA DISCRIMINADOR: 0.9382279515266418
2025-07-16 12:14:03 -> Epoca 8 finalizada em 46.42 segundos. PERDA GERADOR: 2.955775260925293 >> PERDA DISCRIMINADOR: 0.9073613882064819
2025-07-16 12:14:48 -> Epoca 9 finalizada em 44.79 segundos. PERDA GERADOR: 2.8573219776153564 >> PERDA DISCRIMINADOR: 0.8764433860778809
