2025-05-25 11:37:36 -> Preparando o dataset...
2025-05-25 11:37:36 -> Carregando as imagens e convertendo em ndarray...
2025-05-25 11:37:40 -> Normaliza o dataset (-1, 1)
2025-05-25 11:37:40 -> Cria o dataset no formato do TensorFlow e atribui a propriedade do objeto
2025-05-25 11:37:42 -> Treinando o modelo...
2025-05-25 11:38:05 -> Epoca 1 finalizada em 23.32 segundos. PERDA GERADOR: 6.4075703620910645 >> PERDA DISCRIMINADOR: 0.9907312989234924
2025-05-25 11:38:19 -> Epoca 2 finalizada em 13.16 segundos. PERDA GERADOR: 7.438622951507568 >> PERDA DISCRIMINADOR: 0.6431061029434204
2025-05-25 11:38:33 -> Epoca 3 finalizada em 13.87 segundos. PERDA GERADOR: 6.575952529907227 >> PERDA DISCRIMINADOR: 0.5579177737236023
2025-05-25 11:38:46 -> Epoca 4 finalizada em 13.02 segundos. PERDA GERADOR: 7.306451797485352 >> PERDA DISCRIMINADOR: 0.6517037153244019
2025-05-25 11:38:59 -> Epoca 5 finalizada em 13.07 segundos. PERDA GERADOR: 11.449138641357422 >> PERDA DISCRIMINADOR: 0.6454522013664246
2025-05-25 11:39:13 -> Epoca 6 finalizada em 13.90 segundos. PERDA GERADOR: 10.211445808410645 >> PERDA DISCRIMINADOR: 0.5746822953224182
2025-05-25 11:39:26 -> Epoca 7 finalizada em 13.02 segundos. PERDA GERADOR: 9.577001571655273 >> PERDA DISCRIMINADOR: 0.5242696404457092
2025-05-25 11:39:40 -> Epoca 8 finalizada em 14.02 segundos. PERDA GERADOR: 9.619433403015137 >> PERDA DISCRIMINADOR: 0.5893789529800415
2025-05-25 11:39:53 -> Epoca 9 finalizada em 13.05 segundos. PERDA GERADOR: 9.702582359313965 >> PERDA DISCRIMINADOR: 0.6115387678146362
2025-05-25 11:40:06 -> Epoca 10 finalizada em 13.07 segundos. PERDA GERADOR: 9.566658973693848 >> PERDA DISCRIMINADOR: 0.6103571653366089
