2025-07-15 11:40:28 -> Preparando o dataset...
2025-07-15 11:40:28 -> Carregando as imagens e convertendo em ndarray...
2025-07-15 11:40:31 -> Normaliza o dataset (-1, 1)
2025-07-15 11:40:32 -> Cria o dataset no formato do TensorFlow e atribui a propriedade do objeto
2025-07-15 11:40:33 -> None
2025-07-15 11:40:33 -> None
2025-07-15 11:40:33 -> Treinando o modelo...
2025-07-15 11:40:51 -> Epoca 1 finalizada em 17.51 segundos. PERDA GERADOR: 1.2039529085159302 >> PERDA DISCRIMINADOR: 1.1155524253845215
2025-07-15 11:41:04 -> Epoca 2 finalizada em 12.43 segundos. PERDA GERADOR: 1.4479109048843384 >> PERDA DISCRIMINADOR: 1.0922443866729736
2025-07-15 11:41:13 -> Epoca 3 finalizada em 9.63 segundos. PERDA GERADOR: 1.3291091918945312 >> PERDA DISCRIMINADOR: 1.1336452960968018
2025-07-15 11:41:23 -> Epoca 4 finalizada em 9.78 segundos. PERDA GERADOR: 1.2438952922821045 >> PERDA DISCRIMINADOR: 1.1739017963409424
2025-07-15 11:41:36 -> Epoca 5 finalizada em 12.51 segundos. PERDA GERADOR: 1.21909761428833 >> PERDA DISCRIMINADOR: 1.1763873100280762
2025-07-15 11:41:45 -> Epoca 6 finalizada em 9.82 segundos. PERDA GERADOR: 1.2304905652999878 >> PERDA DISCRIMINADOR: 1.1727238893508911
2025-07-15 11:41:55 -> Epoca 7 finalizada em 9.49 segundos. PERDA GERADOR: 1.2084192037582397 >> PERDA DISCRIMINADOR: 1.1752265691757202
2025-07-15 11:42:07 -> Epoca 8 finalizada em 12.22 segundos. PERDA GERADOR: 1.2131397724151611 >> PERDA DISCRIMINADOR: 1.1684463024139404
2025-07-15 11:42:17 -> Epoca 9 finalizada em 9.98 segundos. PERDA GERADOR: 1.2465684413909912 >> PERDA DISCRIMINADOR: 1.1456718444824219
2025-07-15 11:42:27 -> Epoca 10 finalizada em 9.57 segundos. PERDA GERADOR: 1.2648353576660156 >> PERDA DISCRIMINADOR: 1.1515508890151978
2025-07-15 11:42:37 -> Epoca 11 finalizada em 10.09 segundos. PERDA GERADOR: 1.2667450904846191 >> PERDA DISCRIMINADOR: 1.1467467546463013
2025-07-15 11:42:50 -> Epoca 12 finalizada em 12.42 segundos. PERDA GERADOR: 1.2567707300186157 >> PERDA DISCRIMINADOR: 1.1528117656707764
2025-07-15 11:42:59 -> Epoca 13 finalizada em 9.60 segundos. PERDA GERADOR: 1.2666773796081543 >> PERDA DISCRIMINADOR: 1.14621901512146
2025-07-15 11:43:09 -> Epoca 14 finalizada em 10.02 segundos. PERDA GERADOR: 1.2782740592956543 >> PERDA DISCRIMINADOR: 1.137019395828247
2025-07-15 11:43:22 -> Epoca 15 finalizada em 12.85 segundos. PERDA GERADOR: 1.2979960441589355 >> PERDA DISCRIMINADOR: 1.1237305402755737
2025-07-15 11:43:32 -> Epoca 16 finalizada em 9.81 segundos. PERDA GERADOR: 1.319240927696228 >> PERDA DISCRIMINADOR: 1.1131385564804077
2025-07-15 11:43:42 -> Epoca 17 finalizada em 9.77 segundos. PERDA GERADOR: 1.325185775756836 >> PERDA DISCRIMINADOR: 1.1083756685256958
2025-07-15 11:43:54 -> Epoca 18 finalizada em 12.56 segundos. PERDA GERADOR: 1.313565969467163 >> PERDA DISCRIMINADOR: 1.1115583181381226
2025-07-15 11:44:04 -> Epoca 19 finalizada em 9.68 segundos. PERDA GERADOR: 1.3295092582702637 >> PERDA DISCRIMINADOR: 1.098091959953308
2025-07-15 11:44:14 -> Epoca 20 finalizada em 9.77 segundos. PERDA GERADOR: 1.3406232595443726 >> PERDA DISCRIMINADOR: 1.0938633680343628
2025-07-15 11:44:26 -> Epoca 21 finalizada em 12.53 segundos. PERDA GERADOR: 1.3487939834594727 >> PERDA DISCRIMINADOR: 1.0820542573928833
2025-07-15 11:44:36 -> Epoca 22 finalizada em 9.94 segundos. PERDA GERADOR: 1.3535875082015991 >> PERDA DISCRIMINADOR: 1.079268455505371
2025-07-15 11:44:46 -> Epoca 23 finalizada em 9.86 segundos. PERDA GERADOR: 1.3575257062911987 >> PERDA DISCRIMINADOR: 1.071533203125
2025-07-15 11:44:57 -> Epoca 24 finalizada em 10.21 segundos. PERDA GERADOR: 1.3579028844833374 >> PERDA DISCRIMINADOR: 1.0711755752563477
2025-07-15 11:45:09 -> Epoca 25 finalizada em 12.26 segundos. PERDA GERADOR: 1.354549527168274 >> PERDA DISCRIMINADOR: 1.0635030269622803
2025-07-15 11:45:18 -> Epoca 26 finalizada em 9.63 segundos. PERDA GERADOR: 1.3652400970458984 >> PERDA DISCRIMINADOR: 1.0533093214035034
