2025-07-16 13:59:44 -> ---- Variáveis de parâmetro/classe sendo usadas nesta execução
2025-07-16 13:59:44 -> tamanho_filtro_maximo: 1024
2025-07-16 13:59:44 -> tamanho_filtro_minimo: 16
2025-07-16 13:59:44 -> tamanho_kernel: 6
2025-07-16 13:59:44 -> tamanho_kernel: 6
2025-07-16 13:59:44 -> tamanho_strides: 2
2025-07-16 13:59:44 -> dimensao_ruido: 100
2025-07-16 13:59:44 -> tamanho_imagem: 128
2025-07-16 13:59:44 -> canais_imagem: 3
2025-07-16 13:59:44 -> tamanho_lote: 64
2025-07-16 13:59:44 -> epocas: 100
2025-07-16 13:59:44 -> caminho_imagens_dataset: imagens/imagens_redimensionadas
2025-07-16 13:59:44 -> caminho_resultado: resultado/20250716135944
2025-07-16 13:59:44 -> caminho_historico_execucao: resultado/20250716135944/historico_execucao.txt
2025-07-16 13:59:44 -> caminho_imagens_treinamento: resultado/20250716135944/imgs
2025-07-16 13:59:44 -> caminho_modelo_treinado: resultado/20250716135944/model/gerador_azulejos.h5
2025-07-16 13:59:44 -> Preparando o dataset...
2025-07-16 13:59:44 -> Carregando as imagens e convertendo em ndarray...
2025-07-16 13:59:49 -> Normaliza o dataset (-1, 1)
2025-07-16 13:59:50 -> Cria o dataset no formato do TensorFlow e atribui a propriedade do objeto
2025-07-16 14:11:08 -> Epoca 31 finalizada em 22.52 segundos. PERDA GERADOR: 1.8431919813156128 >> PERDA DISCRIMINADOR: 0.7391380071640015
2025-07-16 14:11:27 -> Epoca 32 finalizada em 19.67 segundos. PERDA GERADOR: 1.8401851654052734 >> PERDA DISCRIMINADOR: 0.7367810010910034
2025-07-16 14:11:50 -> Epoca 33 finalizada em 22.33 segundos. PERDA GERADOR: 1.8235746622085571 >> PERDA DISCRIMINADOR: 0.7325204014778137
2025-07-16 14:12:12 -> Epoca 34 finalizada em 22.37 segundos. PERDA GERADOR: 1.8131901025772095 >> PERDA DISCRIMINADOR: 0.7301483154296875
2025-07-16 14:12:32 -> Epoca 35 finalizada em 19.54 segundos. PERDA GERADOR: 1.7987452745437622 >> PERDA DISCRIMINADOR: 0.7264384627342224
2025-07-16 14:12:54 -> Epoca 36 finalizada em 22.61 segundos. PERDA GERADOR: 1.7843317985534668 >> PERDA DISCRIMINADOR: 0.7240285277366638
2025-07-16 14:13:15 -> Epoca 37 finalizada em 20.18 segundos. PERDA GERADOR: 1.7705003023147583 >> PERDA DISCRIMINADOR: 0.7233763337135315
2025-07-16 14:13:38 -> Epoca 38 finalizada em 23.02 segundos. PERDA GERADOR: 1.7587753534317017 >> PERDA DISCRIMINADOR: 0.719811737537384
2025-07-16 14:13:58 -> Epoca 39 finalizada em 20.19 segundos. PERDA GERADOR: 1.745951533317566 >> PERDA DISCRIMINADOR: 0.7175328135490417
2025-07-16 14:14:20 -> Epoca 40 finalizada em 22.11 segundos. PERDA GERADOR: 1.784562110900879 >> PERDA DISCRIMINADOR: 0.7137786746025085
2025-07-16 14:14:42 -> Epoca 41 finalizada em 22.06 segundos. PERDA GERADOR: 1.7964680194854736 >> PERDA DISCRIMINADOR: 0.7073014378547668
2025-07-16 14:15:02 -> Epoca 42 finalizada em 20.21 segundos. PERDA GERADOR: 1.7969281673431396 >> PERDA DISCRIMINADOR: 0.7027776837348938
2025-07-16 14:15:23 -> Epoca 43 finalizada em 20.41 segundos. PERDA GERADOR: 1.8106389045715332 >> PERDA DISCRIMINADOR: 0.6990335583686829
2025-07-16 14:15:45 -> Epoca 44 finalizada em 21.93 segundos. PERDA GERADOR: 1.8026989698410034 >> PERDA DISCRIMINADOR: 0.6953989863395691
2025-07-16 14:16:06 -> Epoca 45 finalizada em 21.45 segundos. PERDA GERADOR: 1.7948204278945923 >> PERDA DISCRIMINADOR: 0.6931514143943787
2025-07-16 14:16:28 -> Epoca 46 finalizada em 21.51 segundos. PERDA GERADOR: 1.7859009504318237 >> PERDA DISCRIMINADOR: 0.689228892326355
2025-07-16 14:16:51 -> Epoca 47 finalizada em 23.33 segundos. PERDA GERADOR: 1.7778862714767456 >> PERDA DISCRIMINADOR: 0.6874707937240601
2025-07-16 14:17:12 -> Epoca 48 finalizada em 20.36 segundos. PERDA GERADOR: 1.7787400484085083 >> PERDA DISCRIMINADOR: 0.6845360994338989
2025-07-16 14:17:33 -> Epoca 49 finalizada em 21.17 segundos. PERDA GERADOR: 1.776452660560608 >> PERDA DISCRIMINADOR: 0.680915892124176
2025-07-16 14:17:56 -> Epoca 50 finalizada em 23.19 segundos. PERDA GERADOR: 1.7730249166488647 >> PERDA DISCRIMINADOR: 0.6779695749282837
2025-07-16 14:18:16 -> Epoca 51 finalizada em 20.18 segundos. PERDA GERADOR: 1.7651736736297607 >> PERDA DISCRIMINADOR: 0.6758117079734802
2025-07-16 14:18:38 -> Epoca 52 finalizada em 21.96 segundos. PERDA GERADOR: 1.7597814798355103 >> PERDA DISCRIMINADOR: 0.6727830767631531
2025-07-16 14:19:01 -> Epoca 53 finalizada em 22.49 segundos. PERDA GERADOR: 1.7521172761917114 >> PERDA DISCRIMINADOR: 0.6706947684288025
2025-07-16 14:19:21 -> Epoca 54 finalizada em 19.68 segundos. PERDA GERADOR: 1.7543938159942627 >> PERDA DISCRIMINADOR: 0.6693004369735718
2025-07-16 14:19:43 -> Epoca 55 finalizada em 22.61 segundos. PERDA GERADOR: 1.7534708976745605 >> PERDA DISCRIMINADOR: 0.6668075919151306
2025-07-16 14:20:03 -> Epoca 56 finalizada em 20.21 segundos. PERDA GERADOR: 1.7512286901474 >> PERDA DISCRIMINADOR: 0.6653472781181335
2025-07-16 14:20:25 -> Epoca 57 finalizada em 21.95 segundos. PERDA GERADOR: 1.7488420009613037 >> PERDA DISCRIMINADOR: 0.6627587676048279
2025-07-16 14:20:48 -> Epoca 58 finalizada em 22.54 segundos. PERDA GERADOR: 1.7709624767303467 >> PERDA DISCRIMINADOR: 0.6589577198028564
2025-07-16 14:21:08 -> Epoca 59 finalizada em 19.82 segundos. PERDA GERADOR: 1.7914987802505493 >> PERDA DISCRIMINADOR: 0.656496524810791
2025-07-16 14:21:30 -> Epoca 60 finalizada em 22.58 segundos. PERDA GERADOR: 1.7924103736877441 >> PERDA DISCRIMINADOR: 0.6533578634262085
2025-07-16 14:21:53 -> Epoca 61 finalizada em 22.59 segundos. PERDA GERADOR: 1.791332483291626 >> PERDA DISCRIMINADOR: 0.6519673466682434
2025-07-16 14:22:13 -> Epoca 62 finalizada em 19.98 segundos. PERDA GERADOR: 1.7838516235351562 >> PERDA DISCRIMINADOR: 0.6496831774711609
2025-07-16 14:22:36 -> Epoca 63 finalizada em 22.42 segundos. PERDA GERADOR: 1.7785471677780151 >> PERDA DISCRIMINADOR: 0.6483306288719177
2025-07-16 14:22:55 -> Epoca 64 finalizada em 19.82 segundos. PERDA GERADOR: 1.773432731628418 >> PERDA DISCRIMINADOR: 0.6459576487541199
2025-07-16 14:23:18 -> Epoca 65 finalizada em 22.47 segundos. PERDA GERADOR: 1.780580759048462 >> PERDA DISCRIMINADOR: 0.6434268355369568
2025-07-16 14:23:40 -> Epoca 66 finalizada em 22.55 segundos. PERDA GERADOR: 1.7775741815567017 >> PERDA DISCRIMINADOR: 0.6409671902656555
2025-07-16 14:24:01 -> Epoca 67 finalizada em 19.99 segundos. PERDA GERADOR: 1.771148443222046 >> PERDA DISCRIMINADOR: 0.6391375660896301
2025-07-16 14:24:23 -> Epoca 68 finalizada em 22.47 segundos. PERDA GERADOR: 1.7659705877304077 >> PERDA DISCRIMINADOR: 0.6376112699508667
2025-07-16 14:24:46 -> Epoca 69 finalizada em 22.68 segundos. PERDA GERADOR: 1.760035514831543 >> PERDA DISCRIMINADOR: 0.6353137493133545
2025-07-16 14:25:06 -> Epoca 70 finalizada em 19.87 segundos. PERDA GERADOR: 1.7572193145751953 >> PERDA DISCRIMINADOR: 0.6336842179298401
2025-07-16 14:25:28 -> Epoca 71 finalizada em 22.76 segundos. PERDA GERADOR: 1.7496702671051025 >> PERDA DISCRIMINADOR: 0.6323595643043518
2025-07-16 14:25:48 -> Epoca 72 finalizada em 19.87 segundos. PERDA GERADOR: 1.7435681819915771 >> PERDA DISCRIMINADOR: 0.630501925945282
