2025-06-09 11:34:06 -> Preparando o dataset...
2025-06-09 11:34:06 -> Carregando as imagens e convertendo em ndarray...
2025-06-09 11:34:10 -> Normaliza o dataset (-1, 1)
2025-06-09 11:34:10 -> Cria o dataset no formato do TensorFlow e atribui a propriedade do objeto
2025-06-09 11:34:12 -> Treinando o modelo...
2025-06-09 11:34:36 -> Epoca 1 finalizada em 24.01 segundos. PERDA GERADOR: 6.516149520874023 >> PERDA DISCRIMINADOR: 0.7822077870368958
2025-06-09 11:34:48 -> Epoca 2 finalizada em 12.16 segundos. PERDA GERADOR: 6.2100348472595215 >> PERDA DISCRIMINADOR: 0.7710724472999573
2025-06-09 11:35:03 -> Epoca 3 finalizada em 15.13 segundos. PERDA GERADOR: 6.793501377105713 >> PERDA DISCRIMINADOR: 0.6310310959815979
2025-06-09 11:35:16 -> Epoca 4 finalizada em 12.33 segundos. PERDA GERADOR: 6.760643005371094 >> PERDA DISCRIMINADOR: 0.6318327784538269
2025-06-09 11:35:28 -> Epoca 5 finalizada em 12.17 segundos. PERDA GERADOR: 6.624034881591797 >> PERDA DISCRIMINADOR: 0.579974353313446
2025-06-09 11:35:43 -> Epoca 6 finalizada em 14.94 segundos. PERDA GERADOR: 7.0106987953186035 >> PERDA DISCRIMINADOR: 0.5146346092224121
2025-06-09 11:35:55 -> Epoca 7 finalizada em 12.40 segundos. PERDA GERADOR: 7.559466361999512 >> PERDA DISCRIMINADOR: 0.4770008623600006
2025-06-09 11:36:10 -> Epoca 8 finalizada em 15.00 segundos. PERDA GERADOR: 10.09724235534668 >> PERDA DISCRIMINADOR: 0.4818706214427948
2025-06-09 11:36:23 -> Epoca 9 finalizada em 12.58 segundos. PERDA GERADOR: 9.571212768554688 >> PERDA DISCRIMINADOR: 0.46080440282821655
2025-06-09 11:36:35 -> Epoca 10 finalizada em 12.34 segundos. PERDA GERADOR: 9.289804458618164 >> PERDA DISCRIMINADOR: 0.4414636790752411
2025-06-09 11:36:50 -> Epoca 11 finalizada em 15.14 segundos. PERDA GERADOR: 9.503408432006836 >> PERDA DISCRIMINADOR: 0.42993977665901184
2025-06-09 11:37:03 -> Epoca 12 finalizada em 12.42 segundos. PERDA GERADOR: 9.476927757263184 >> PERDA DISCRIMINADOR: 0.42905357480049133
2025-06-09 11:37:15 -> Epoca 13 finalizada em 12.40 segundos. PERDA GERADOR: 9.732056617736816 >> PERDA DISCRIMINADOR: 0.41050055623054504
2025-06-09 11:37:31 -> Epoca 14 finalizada em 15.35 segundos. PERDA GERADOR: 9.887530326843262 >> PERDA DISCRIMINADOR: 0.39876461029052734
2025-06-09 11:37:43 -> Epoca 15 finalizada em 12.61 segundos. PERDA GERADOR: 10.965200424194336 >> PERDA DISCRIMINADOR: 0.4061349928379059
2025-06-09 11:37:59 -> Epoca 16 finalizada em 15.33 segundos. PERDA GERADOR: 11.055785179138184 >> PERDA DISCRIMINADOR: 0.3882402777671814
2025-06-09 11:38:12 -> Epoca 17 finalizada em 12.63 segundos. PERDA GERADOR: 10.939334869384766 >> PERDA DISCRIMINADOR: 0.36836621165275574
2025-06-09 11:38:24 -> Epoca 18 finalizada em 12.42 segundos. PERDA GERADOR: 11.115737915039062 >> PERDA DISCRIMINADOR: 0.35563570261001587
2025-06-09 11:38:39 -> Epoca 19 finalizada em 15.40 segundos. PERDA GERADOR: 11.123588562011719 >> PERDA DISCRIMINADOR: 0.3435153663158417
2025-06-09 11:38:52 -> Epoca 20 finalizada em 12.54 segundos. PERDA GERADOR: 11.075141906738281 >> PERDA DISCRIMINADOR: 0.33041876554489136
2025-06-09 11:39:07 -> Epoca 21 finalizada em 15.30 segundos. PERDA GERADOR: 11.539949417114258 >> PERDA DISCRIMINADOR: 0.32576239109039307
2025-06-09 11:39:20 -> Epoca 22 finalizada em 12.60 segundos. PERDA GERADOR: 11.632001876831055 >> PERDA DISCRIMINADOR: 0.31931304931640625
2025-06-09 11:39:32 -> Epoca 23 finalizada em 12.51 segundos. PERDA GERADOR: 11.5818452835083 >> PERDA DISCRIMINADOR: 0.3105887174606323
2025-06-09 11:39:48 -> Epoca 24 finalizada em 15.32 segundos. PERDA GERADOR: 11.533846855163574 >> PERDA DISCRIMINADOR: 0.30123430490493774
2025-06-09 11:40:01 -> Epoca 25 finalizada em 12.69 segundos. PERDA GERADOR: 11.490469932556152 >> PERDA DISCRIMINADOR: 0.2925921380519867
2025-06-09 11:40:16 -> Epoca 26 finalizada em 15.32 segundos. PERDA GERADOR: 11.429198265075684 >> PERDA DISCRIMINADOR: 0.2854313850402832
2025-06-09 11:40:29 -> Epoca 27 finalizada em 12.62 segundos. PERDA GERADOR: 11.44784164428711 >> PERDA DISCRIMINADOR: 0.2784753739833832
2025-06-09 11:40:41 -> Epoca 28 finalizada em 12.53 segundos. PERDA GERADOR: 11.591462135314941 >> PERDA DISCRIMINADOR: 0.27205854654312134
2025-06-09 11:40:56 -> Epoca 29 finalizada em 15.36 segundos. PERDA GERADOR: 11.696053504943848 >> PERDA DISCRIMINADOR: 0.2681112587451935
2025-06-09 11:41:09 -> Epoca 30 finalizada em 12.77 segundos. PERDA GERADOR: 11.704628944396973 >> PERDA DISCRIMINADOR: 0.2612975239753723
2025-06-09 11:41:25 -> Epoca 31 finalizada em 15.65 segundos. PERDA GERADOR: 11.828568458557129 >> PERDA DISCRIMINADOR: 0.25954243540763855
2025-06-09 11:41:38 -> Epoca 32 finalizada em 12.88 segundos. PERDA GERADOR: 11.881709098815918 >> PERDA DISCRIMINADOR: 0.2565443217754364
2025-06-09 11:41:51 -> Epoca 33 finalizada em 12.61 segundos. PERDA GERADOR: 12.539179801940918 >> PERDA DISCRIMINADOR: 0.31658461689949036
2025-06-09 11:42:06 -> Epoca 34 finalizada em 15.70 segundos. PERDA GERADOR: 13.19170093536377 >> PERDA DISCRIMINADOR: 0.34482160210609436
2025-06-09 11:42:19 -> Epoca 35 finalizada em 12.91 segundos. PERDA GERADOR: 15.244467735290527 >> PERDA DISCRIMINADOR: 0.35075441002845764
2025-06-09 11:42:32 -> Epoca 36 finalizada em 12.67 segundos. PERDA GERADOR: 15.880849838256836 >> PERDA DISCRIMINADOR: 0.35273656249046326
2025-06-09 11:42:48 -> Epoca 37 finalizada em 12.82 segundos. PERDA GERADOR: 15.98486042022705 >> PERDA DISCRIMINADOR: 0.3486669957637787
2025-06-09 11:43:01 -> Epoca 38 finalizada em 13.06 segundos. PERDA GERADOR: 16.08196258544922 >> PERDA DISCRIMINADOR: 0.34416642785072327
2025-06-09 11:43:17 -> Epoca 39 finalizada em 15.99 segundos. PERDA GERADOR: 16.140302658081055 >> PERDA DISCRIMINADOR: 0.33850255608558655
2025-06-09 11:43:30 -> Epoca 40 finalizada em 12.95 segundos. PERDA GERADOR: 16.051971435546875 >> PERDA DISCRIMINADOR: 0.3337625563144684
