2025-07-15 12:08:40 -> Preparando o dataset...
2025-07-15 12:08:40 -> Carregando as imagens e convertendo em ndarray...
2025-07-15 12:08:41 -> Normaliza o dataset (-1, 1)
2025-07-15 12:08:41 -> Cria o dataset no formato do TensorFlow e atribui a propriedade do objeto
2025-07-15 12:08:43 -> None
2025-07-15 12:08:43 -> None
2025-07-15 12:08:43 -> Treinando o modelo...
2025-07-15 12:09:01 -> Epoca 1 finalizada em 18.33 segundos. PERDA GERADOR: 1.5070700645446777 >> PERDA DISCRIMINADOR: 0.8197901248931885
2025-07-15 12:09:14 -> Epoca 2 finalizada em 12.23 segundos. PERDA GERADOR: 1.4708729982376099 >> PERDA DISCRIMINADOR: 1.0342841148376465
2025-07-15 12:09:24 -> Epoca 3 finalizada em 9.93 segundos. PERDA GERADOR: 1.339637041091919 >> PERDA DISCRIMINADOR: 1.0820766687393188
2025-07-15 12:09:34 -> Epoca 4 finalizada em 9.81 segundos. PERDA GERADOR: 1.3152985572814941 >> PERDA DISCRIMINADOR: 1.104620099067688
2025-07-15 12:09:46 -> Epoca 5 finalizada em 12.18 segundos. PERDA GERADOR: 1.3428175449371338 >> PERDA DISCRIMINADOR: 1.0918201208114624
2025-07-15 12:09:56 -> Epoca 6 finalizada em 9.94 segundos. PERDA GERADOR: 1.443047285079956 >> PERDA DISCRIMINADOR: 1.076502799987793
2025-07-15 12:10:06 -> Epoca 7 finalizada em 10.05 segundos. PERDA GERADOR: 1.4296507835388184 >> PERDA DISCRIMINADOR: 1.057931661605835
2025-07-15 12:10:18 -> Epoca 8 finalizada em 12.16 segundos. PERDA GERADOR: 1.442996859550476 >> PERDA DISCRIMINADOR: 1.053240418434143
2025-07-15 12:10:28 -> Epoca 9 finalizada em 9.85 segundos. PERDA GERADOR: 1.4739741086959839 >> PERDA DISCRIMINADOR: 1.0343364477157593
2025-07-15 12:10:38 -> Epoca 10 finalizada em 9.84 segundos. PERDA GERADOR: 1.4940084218978882 >> PERDA DISCRIMINADOR: 1.0233702659606934
2025-07-15 12:10:48 -> Epoca 11 finalizada em 9.92 segundos. PERDA GERADOR: 1.4921647310256958 >> PERDA DISCRIMINADOR: 1.0115454196929932
2025-07-15 12:11:00 -> Epoca 12 finalizada em 12.07 segundos. PERDA GERADOR: 1.519642949104309 >> PERDA DISCRIMINADOR: 1.0035719871520996
2025-07-15 12:11:10 -> Epoca 13 finalizada em 9.96 segundos. PERDA GERADOR: 1.5192575454711914 >> PERDA DISCRIMINADOR: 1.003251552581787
2025-07-15 12:11:20 -> Epoca 14 finalizada em 9.91 segundos. PERDA GERADOR: 1.529406189918518 >> PERDA DISCRIMINADOR: 0.9938367009162903
2025-07-15 12:11:32 -> Epoca 15 finalizada em 12.15 segundos. PERDA GERADOR: 1.552321195602417 >> PERDA DISCRIMINADOR: 0.9799596071243286
2025-07-15 12:11:42 -> Epoca 16 finalizada em 9.97 segundos. PERDA GERADOR: 1.570004940032959 >> PERDA DISCRIMINADOR: 0.9716453552246094
2025-07-15 12:11:52 -> Epoca 17 finalizada em 10.04 segundos. PERDA GERADOR: 1.583050012588501 >> PERDA DISCRIMINADOR: 0.9656903743743896
2025-07-15 12:12:04 -> Epoca 18 finalizada em 12.07 segundos. PERDA GERADOR: 1.5909267663955688 >> PERDA DISCRIMINADOR: 0.9572339653968811
2025-07-15 12:12:14 -> Epoca 19 finalizada em 9.99 segundos. PERDA GERADOR: 1.5988905429840088 >> PERDA DISCRIMINADOR: 0.9543249011039734
2025-07-15 12:12:24 -> Epoca 20 finalizada em 10.02 segundos. PERDA GERADOR: 1.5878973007202148 >> PERDA DISCRIMINADOR: 0.9479121565818787
2025-07-15 12:12:36 -> Epoca 21 finalizada em 11.83 segundos. PERDA GERADOR: 1.5796759128570557 >> PERDA DISCRIMINADOR: 0.9416269063949585
2025-07-15 12:12:46 -> Epoca 22 finalizada em 10.00 segundos. PERDA GERADOR: 1.5728144645690918 >> PERDA DISCRIMINADOR: 0.9378970861434937
2025-07-15 12:12:56 -> Epoca 23 finalizada em 9.99 segundos. PERDA GERADOR: 1.5581307411193848 >> PERDA DISCRIMINADOR: 0.9368050694465637
2025-07-15 12:13:09 -> Epoca 24 finalizada em 12.17 segundos. PERDA GERADOR: 1.5479068756103516 >> PERDA DISCRIMINADOR: 0.9328425526618958
2025-07-15 12:13:19 -> Epoca 25 finalizada em 10.01 segundos. PERDA GERADOR: 1.5357887744903564 >> PERDA DISCRIMINADOR: 0.9303475022315979
2025-07-15 12:13:29 -> Epoca 26 finalizada em 9.95 segundos. PERDA GERADOR: 1.5172991752624512 >> PERDA DISCRIMINADOR: 0.9292935729026794
2025-07-15 12:13:39 -> Epoca 27 finalizada em 9.89 segundos. PERDA GERADOR: 1.503616213798523 >> PERDA DISCRIMINADOR: 0.9289070963859558
2025-07-15 12:13:51 -> Epoca 28 finalizada em 11.87 segundos. PERDA GERADOR: 1.490593671798706 >> PERDA DISCRIMINADOR: 0.9254810810089111
2025-07-15 12:14:00 -> Epoca 29 finalizada em 9.72 segundos. PERDA GERADOR: 1.4794621467590332 >> PERDA DISCRIMINADOR: 0.922484815120697
2025-07-15 12:14:10 -> Epoca 30 finalizada em 10.01 segundos. PERDA GERADOR: 1.4611982107162476 >> PERDA DISCRIMINADOR: 0.919862687587738
2025-07-15 12:14:23 -> Epoca 31 finalizada em 12.84 segundos. PERDA GERADOR: 1.4494719505310059 >> PERDA DISCRIMINADOR: 0.9163234829902649
2025-07-15 12:14:33 -> Epoca 32 finalizada em 10.16 segundos. PERDA GERADOR: 1.4373871088027954 >> PERDA DISCRIMINADOR: 0.9154317378997803
