2025-05-24 21:23:07 -> Preparando o dataset...
2025-05-24 21:23:07 -> Carregando as imagens e convertendo em ndarray...
2025-05-24 21:23:11 -> Normaliza o dataset (-1, 1)
2025-05-24 21:23:12 -> Cria o dataset no formato do TensorFlow e atribui a propriedade do objeto
2025-05-24 21:23:14 -> Treinando o modelo...
2025-05-24 21:23:35 -> Epoca 1 finalizada em 21.47 segundos. PERDA GERADOR: 9.450057029724121 >> PERDA DISCRIMINADOR: 0.8859477639198303
2025-05-24 21:23:49 -> Epoca 2 finalizada em 13.97 segundos. PERDA GERADOR: 7.931400775909424 >> PERDA DISCRIMINADOR: 0.7112586498260498
2025-05-24 21:24:02 -> Epoca 3 finalizada em 12.62 segundos. PERDA GERADOR: 7.412477016448975 >> PERDA DISCRIMINADOR: 0.6422826051712036
2025-05-24 21:24:15 -> Epoca 4 finalizada em 12.70 segundos. PERDA GERADOR: 7.052827835083008 >> PERDA DISCRIMINADOR: 0.6030105352401733
2025-05-24 21:24:29 -> Epoca 5 finalizada em 14.05 segundos. PERDA GERADOR: 6.830340385437012 >> PERDA DISCRIMINADOR: 0.6248688101768494
2025-05-24 21:24:42 -> Epoca 6 finalizada em 12.68 segundos. PERDA GERADOR: 7.458067417144775 >> PERDA DISCRIMINADOR: 0.6663779616355896
2025-05-24 21:24:56 -> Epoca 7 finalizada em 14.09 segundos. PERDA GERADOR: 8.413668632507324 >> PERDA DISCRIMINADOR: 0.598979115486145
2025-05-24 21:25:09 -> Epoca 8 finalizada em 12.70 segundos. PERDA GERADOR: 9.8234281539917 >> PERDA DISCRIMINADOR: 0.8705667853355408
2025-05-24 21:25:21 -> Epoca 9 finalizada em 12.68 segundos. PERDA GERADOR: 9.404074668884277 >> PERDA DISCRIMINADOR: 0.8071898221969604
2025-05-24 21:25:36 -> Epoca 10 finalizada em 14.35 segundos. PERDA GERADOR: 9.370390892028809 >> PERDA DISCRIMINADOR: 0.7490630149841309
2025-05-24 21:25:48 -> Epoca 11 finalizada em 12.57 segundos. PERDA GERADOR: 9.29629898071289 >> PERDA DISCRIMINADOR: 0.7114573121070862
2025-05-24 21:26:03 -> Epoca 12 finalizada em 14.24 segundos. PERDA GERADOR: 9.435683250427246 >> PERDA DISCRIMINADOR: 0.6804367899894714
2025-05-24 21:26:15 -> Epoca 13 finalizada em 12.41 segundos. PERDA GERADOR: 9.210533142089844 >> PERDA DISCRIMINADOR: 0.654407799243927
2025-05-24 21:26:28 -> Epoca 14 finalizada em 12.99 segundos. PERDA GERADOR: 9.373631477355957 >> PERDA DISCRIMINADOR: 0.643424928188324
2025-05-24 21:26:42 -> Epoca 15 finalizada em 14.52 segundos. PERDA GERADOR: 9.220914840698242 >> PERDA DISCRIMINADOR: 0.6176475882530212
2025-05-24 21:26:55 -> Epoca 16 finalizada em 12.59 segundos. PERDA GERADOR: 9.20094108581543 >> PERDA DISCRIMINADOR: 0.5975224375724792
2025-05-24 21:27:10 -> Epoca 17 finalizada em 14.89 segundos. PERDA GERADOR: 9.074652671813965 >> PERDA DISCRIMINADOR: 0.576275110244751
2025-05-24 21:27:23 -> Epoca 18 finalizada em 12.61 segundos. PERDA GERADOR: 9.172272682189941 >> PERDA DISCRIMINADOR: 0.5554718971252441
2025-05-24 21:27:36 -> Epoca 19 finalizada em 12.88 segundos. PERDA GERADOR: 9.149317741394043 >> PERDA DISCRIMINADOR: 0.5431601405143738
2025-05-24 21:27:50 -> Epoca 20 finalizada em 14.84 segundos. PERDA GERADOR: 9.163816452026367 >> PERDA DISCRIMINADOR: 0.5269110798835754
2025-05-24 21:28:03 -> Epoca 21 finalizada em 12.37 segundos. PERDA GERADOR: 9.064847946166992 >> PERDA DISCRIMINADOR: 0.5098685026168823
2025-05-24 21:28:18 -> Epoca 22 finalizada em 14.79 segundos. PERDA GERADOR: 8.975883483886719 >> PERDA DISCRIMINADOR: 0.49502500891685486
2025-05-24 21:28:31 -> Epoca 23 finalizada em 13.12 segundos. PERDA GERADOR: 9.006622314453125 >> PERDA DISCRIMINADOR: 0.4891469478607178
2025-05-24 21:28:44 -> Epoca 24 finalizada em 12.72 segundos. PERDA GERADOR: 8.95702838897705 >> PERDA DISCRIMINADOR: 0.47389402985572815
2025-05-24 21:28:58 -> Epoca 25 finalizada em 14.74 segundos. PERDA GERADOR: 9.00438404083252 >> PERDA DISCRIMINADOR: 0.46629559993743896
2025-05-24 21:29:11 -> Epoca 26 finalizada em 12.49 segundos. PERDA GERADOR: 8.956657409667969 >> PERDA DISCRIMINADOR: 0.452835351228714
2025-05-24 21:29:26 -> Epoca 27 finalizada em 14.59 segundos. PERDA GERADOR: 8.921704292297363 >> PERDA DISCRIMINADOR: 0.44186440110206604
2025-05-24 21:29:38 -> Epoca 28 finalizada em 12.70 segundos. PERDA GERADOR: 9.116265296936035 >> PERDA DISCRIMINADOR: 0.44702383875846863
2025-05-24 21:29:51 -> Epoca 29 finalizada em 12.76 segundos. PERDA GERADOR: 9.033269882202148 >> PERDA DISCRIMINADOR: 0.4364335238933563
2025-05-24 21:30:06 -> Epoca 30 finalizada em 14.56 segundos. PERDA GERADOR: 8.9973783493042 >> PERDA DISCRIMINADOR: 0.42583519220352173
2025-05-24 21:30:19 -> Epoca 31 finalizada em 13.04 segundos. PERDA GERADOR: 8.958762168884277 >> PERDA DISCRIMINADOR: 0.41430583596229553
2025-05-24 21:30:33 -> Epoca 32 finalizada em 14.52 segundos. PERDA GERADOR: 9.022917747497559 >> PERDA DISCRIMINADOR: 0.4084452688694
2025-05-24 21:30:46 -> Epoca 33 finalizada em 12.81 segundos. PERDA GERADOR: 9.043168067932129 >> PERDA DISCRIMINADOR: 0.4023206830024719
2025-05-24 21:30:59 -> Epoca 34 finalizada em 13.07 segundos. PERDA GERADOR: 8.980104446411133 >> PERDA DISCRIMINADOR: 0.3939550817012787
2025-05-24 21:31:14 -> Epoca 35 finalizada em 14.80 segundos. PERDA GERADOR: 9.076081275939941 >> PERDA DISCRIMINADOR: 0.3920009434223175
2025-05-24 21:31:27 -> Epoca 36 finalizada em 13.02 segundos. PERDA GERADOR: 9.16021728515625 >> PERDA DISCRIMINADOR: 0.38542017340660095
2025-05-24 21:31:42 -> Epoca 37 finalizada em 14.35 segundos. PERDA GERADOR: 9.533792495727539 >> PERDA DISCRIMINADOR: 0.4013223350048065
2025-05-24 21:31:55 -> Epoca 38 finalizada em 13.04 segundos. PERDA GERADOR: 9.566797256469727 >> PERDA DISCRIMINADOR: 0.39487162232398987
2025-05-24 21:32:08 -> Epoca 39 finalizada em 13.16 segundos. PERDA GERADOR: 9.537407875061035 >> PERDA DISCRIMINADOR: 0.38748040795326233
2025-05-24 21:32:22 -> Epoca 40 finalizada em 14.38 segundos. PERDA GERADOR: 9.513379096984863 >> PERDA DISCRIMINADOR: 0.37950241565704346
2025-05-24 21:32:35 -> Epoca 41 finalizada em 13.05 segundos. PERDA GERADOR: 9.52222728729248 >> PERDA DISCRIMINADOR: 0.37452632188796997
2025-05-24 21:32:50 -> Epoca 42 finalizada em 14.64 segundos. PERDA GERADOR: 9.536592483520508 >> PERDA DISCRIMINADOR: 0.36916056275367737
2025-05-24 21:33:03 -> Epoca 43 finalizada em 13.21 segundos. PERDA GERADOR: 10.073407173156738 >> PERDA DISCRIMINADOR: 0.3777710497379303
2025-05-24 21:33:18 -> Epoca 44 finalizada em 14.44 segundos. PERDA GERADOR: 10.074485778808594 >> PERDA DISCRIMINADOR: 0.37270984053611755
2025-05-24 21:33:31 -> Epoca 45 finalizada em 13.26 segundos. PERDA GERADOR: 10.050726890563965 >> PERDA DISCRIMINADOR: 0.3687414824962616
2025-05-24 21:33:44 -> Epoca 46 finalizada em 13.19 segundos. PERDA GERADOR: 10.023589134216309 >> PERDA DISCRIMINADOR: 0.3633002042770386
2025-05-24 21:33:59 -> Epoca 47 finalizada em 14.56 segundos. PERDA GERADOR: 10.012356758117676 >> PERDA DISCRIMINADOR: 0.3575442135334015
